business,id,brandName,storeName,storeCode,orderNo,callNo,create,spot,backendId,type,total,discount,tax,service,shipping,tips,grandTotal,discountCode,itemsCount,status,payment,subpay,payFee,payRefId,platformFee,transferAmount,cardNo,username,email,phone,takeout,source,sourceId,deliveryId,memberCode,memberId,userType,pickupDate,pickupName
2025-04-02,124e7d2e-90a5-4d9c-b9cb-ce1eb9577e91,Fairwood,Shek Kip Mei Estate,027,027-155958,,2025-04-02 07:01:21,,60027,takeaway,48.0,3.0,0,0,0,0,45.0,,7,completed,payme,payme,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,bfddc8a4-dd67-4df2-8d05-fb906f658765,Fairwood,Shek Kip Mei Estate,027,102723799731,,2025-04-02 07:06:25,,60027,dinein,30.0,3.0,0,0,0,0,27.0,,3,received,pos,,0,,0,0,,,,,False,,,,,,,,
2025-04-02,353c3932-375f-4e07-95fc-9d88f4890136,Fairwood,Shek Kip Mei Estate,027,027-155959,,2025-04-02 07:25:07,,60027,takeaway,47.5,0.0,0,0,0,0,47.5,,7,completed,payme,payme,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,d5e30126-e24f-4fb1-ba8b-128d8fa0fa57,Fairwood,Shek Kip Mei Estate,027,027-155960,,2025-04-02 07:48:26,,60027,takeaway,39.0,3.0,0,0,0,0,36.0,,6,completed,mpgs,,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,151133bc-bff2-4581-895d-085a6287a750,Fairwood,Shek Kip Mei Estate,027,027-155961,,2025-04-02 07:50:56,,60027,takeaway,35.0,0.0,0,0,0,0,35.0,,6,completed,alipay,eft-hk,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,035ff61d-2a24-4d62-a3f2-8de770f22845,Fairwood,Shek Kip Mei Estate,027,102723799808,,2025-04-02 07:55:07,,60027,dinein,32.0,0.0,0,0,0,0,32.0,,5,received,pos,,0,,0,0,,,,,False,,,,,,,,
2025-04-02,a854d49f-31bd-49eb-8409-40656880e5b6,Fairwood,Shek Kip Mei Estate,027,027-155962,,2025-04-02 07:58:47,,60027,takeaway,34.0,0.0,0,0,0,0,34.0,,6,completed,mpgs,,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,1335e51f-1bb2-43da-8029-933014a91e0d,Fairwood,Shek Kip Mei Estate,027,102723799830,,2025-04-02 08:04:06,,60027,dinein,30.0,3.0,0,0,0,0,27.0,,3,received,pos,,0,,0,0,,,,,False,,,,,,,,
2025-04-02,a04d4b57-4d5a-446a-893d-fae2affb0e3c,Fairwood,Shek Kip Mei Estate,027,027-155963,,2025-04-02 08:09:59,,60027,takeaway,118.5,3.0,0,0,0,0,115.5,,19,completed,alipay,eft-hk,0,,0,0,,,,,True,mobile,,,,,,,
2025-04-02,ebbeb95a-e698-4d11-a367-ea8e50166260,Fairwood,Shek Kip Mei Estate,027,027-155964,,2025-04-02 08:13:15,,60027,takeaway,46.5,3.0,0,0,0,0,43.5,,7,completed,alipay,eft-hk,0,,0,0,,,,,True,mobile,,,,,,,
